BañosDesde,BañosHasta,BañosTooltip,Cantidad,CantidadImagenes,Comuna,DormitoriosDesde,DormitoriosHasta,DormitoriosTooltip,EsBienRaiz,EsCliente,EsDelCirculoCorredores,EsFavorita,EsFavorito,EsNueva,EsUltimaVenta,EsUsada,FechaPublicacion,Id,IdBienRaizResumenCoordenada,IdCoordenada,IdPropiedad,IdTipoMoneda,IdTipoOperacion,IdTipoOperacionFamilia,IdTipoOperacionPredominante,IdTipoPropiedadFamilia,Imagen,ImagenPrincipal,Latitud,Longitud,MensajeFotos,MetrajeTooltip,MetrosConstruidos,MetrosTerraza,MetrosTerreno,MetrosUtiles,OrdenProyecto,PrecioDesde,PrecioDespliegue,PrecioHasta,PrecioPesos,PrecioUF,RutaContenido,RutaLogo,RutaLogoResultado,SuperficieConstruidaDesde,SuperficieConstruidaHasta,SuperficieTerrazaDesde,SuperficieTerrazaHasta,SuperficieTerrenoDesde,SuperficieTerrenoHasta,SuperficieUtilDesde,SuperficieUtilHasta,Tiene360,TieneMultimedia,TienePropietario,TieneRolAsociado,TipoOperacion,Titulo,TituloToolTip,UrlFicha
2,2,2 Baños,1000000,22,Las Condes,4,4,4 Dormitorios,False,True,False,False,False,False,0,True,20180320,971805,0,-33.42195926:-70.53993802,971805,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180320/971805/n_wm_actrvpropiedades_102003400_3400-102003400-160306_2.jpg,-33.42195926,-70.53993802,22 fotos,109 m^2 | 130 m^2,0,0,0,0,50,9090.0,UF 9.090,0.0,0,0,,2736/2015050840210279522.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2736/2015050840210279522.jpg,109.0,109.0,0.0,0.0,0.0,0.0,130.0,130.0,False,False,0,False,Venta,VISVIRI / ALONSO DE CAMARGO,VISVIRI / ALONSO DE CAMARGO,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/visviri-alonso-de-camargo/971805
2,2,2 Baños,1000000,27,Las Condes,2,2,2 Dormitorios,False,True,True,False,False,False,0,True,20180416,989458,0,-33.42625258:-70.53963727,989458,1,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180416/989458/n_wm_amp_102054069_102054069_9.jpg,-33.42625258,-70.53963727,27 fotos,60 m^2 | 70 m^2,0,0,0,0,50,152000000.0,$ 152.000.000,0.0,0,0,,1305/2017103028439948039.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/1305/2017103028439948039.jpg,60.0,60.0,0.0,0.0,0.0,0.0,70.0,70.0,False,False,0,True,Venta,PORTAL LA REINA,PORTAL LA REINA,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/portal-la-reina/989458
0,0,,1000000,8,Las Condes,0,0,,False,True,True,False,False,False,0,True,20180315,968838,0,-33.42424630:-70.53715590,968838,1,9,1,9,1,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180315/968838/n_wm_106878cd-119e-490d-90a3-ff85382ef74f_20180315_101140.jpg,-33.4242463,-70.5371559,8 fotos,140 m^2 | 230 m^2,0,0,0,0,50,218000000.0,$ 218.000.000,0.0,0,0,,8229/2017011256114069869.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/8229/2017011256114069869.jpg,140.0,140.0,0.0,0.0,230.0,230.0,140.0,140.0,False,False,0,True,Venta,140 m2 / 230 terreno en Tranquilo Barrio a pasos de Portal La Reina,140 m2 / 230 terreno en Tranqu...,https://www.toctoc.com/propiedades/compracorredorasr/casa/las-condes/140-m2-230-terreno-en-tranquilo-barrio-a-pasos-de-portal-la-reina/968838
3,3,3 Baños,1000000,42,Las Condes,4,4,4 Dormitorios,False,True,True,False,False,False,0,True,20171123,907613,0,-33.42077100:-70.53906660,907613,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20171123/907613/n_wm_vupr_propiedades_a3if1000000uuw5eag.jpg,-33.420771,-70.5390666,42 fotos,120 m^2 | 140 m^2,0,0,0,0,50,8600.0,UF 8.600,0.0,0,0,,1736/2016032157438919071.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/1736/2016032157438919071.jpg,120.0,120.0,0.0,0.0,0.0,0.0,140.0,140.0,False,False,0,True,Venta,Los Domínicos,Los Domínicos,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/los-dominicos/907613
3,3,3 Baños,1000000,25,Las Condes,4,4,4 Dormitorios,False,True,True,False,False,False,0,True,20180402,979840,0,-33.42071190:-70.53904920,979840,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180402/979840/n_wm_add7bb42913-59cc-4761-961d-e4512b273ed6_102129598_129598-102129598-315005_3.jpg,-33.4207119,-70.5390492,25 fotos,130 m^2 | 136 m^2,0,0,0,0,50,8500.0,UF 8.500,0.0,0,0,,8204/2017112107374942085.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/8204/2017112107374942085.jpg,130.0,130.0,0.0,0.0,0.0,0.0,136.0,136.0,False,False,0,True,Venta,Padre Hurtado Sur // Alonso de Camargo,Padre Hurtado Sur // Alonso de...,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/padre-hurtado-sur-alonso-de-camargo/979840
3,3,3 Baños,1000000,29,Las Condes,4,4,4 Dormitorios,False,True,True,False,False,False,0,True,20180321,972505,0,-33.42015760:-70.53899240,972505,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180321/972505/n_wm_vld_102053689_102053689_9.jpg,-33.4201576,-70.5389924,29 fotos,124 m^2 | 134 m^2,0,0,0,0,50,9490.0,UF 9.490,0.0,0,0,,2756/2015102628552174440.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2756/2015102628552174440.jpg,124.0,124.0,0.0,0.0,0.0,0.0,134.0,134.0,False,False,0,True,Venta,ALONSO DE CAMARGO,ALONSO DE CAMARGO,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/alonso-de-camargo/972505
2,2,2 Baños,1000000,32,Las Condes,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180324,975661,0,-33.42039871:-70.53790283,975661,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180324/975661/n_wm_soledadvidal_1516866_15-16866-197052.jpg,-33.42039871,-70.53790283,32 fotos,130 m^2 | 138 m^2,0,0,0,0,50,9200.0,UF 9.200,0.0,0,0,,1383/2016112822510754529.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/1383/2016112822510754529.jpg,130.0,130.0,0.0,0.0,0.0,0.0,138.0,138.0,False,False,0,False,Venta,Padre Hurtado / Alonso de Camargo / Colon,Padre Hurtado / Alonso de Cama...,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/padre-hurtado-alonso-de-camargo-colon/975661
2,2,2 Baños,1000000,13,Las Condes,2,2,2 Dormitorios,False,True,True,False,False,False,0,True,20180314,968315,0,-33.42646920:-70.53901330,968315,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180314/968315/n_wm_ca0e3c56-9f54-455c-89bc-0ad101f3595b_20180314_141346.jpg,-33.4264692,-70.5390133,13 fotos,66 m^2,0,0,0,0,50,5260.0,UF 5.260,0.0,0,0,,9059/2017040349326089100.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/9059/2017040349326089100.jpg,66.0,66.0,0.0,0.0,0.0,0.0,66.0,66.0,False,False,0,True,Venta,Padre Hurtado Sur - Mall,Padre Hurtado Sur - Mall,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/padre-hurtado-sur-mall/968315
2,2,2 Baños,1000000,8,Las Condes,3,3,3 Dormitorios,False,True,False,False,False,False,0,True,20180412,985999,0,-33.42646920:-70.53901330,985999,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180412/985999/n_wm_75c8bec1-6bcc-4aa1-924d-ae321d025063_20180412_180310.jpg,-33.4264692,-70.5390133,8 fotos,77 m^2,0,0,0,0,50,5750.0,UF 5.750,0.0,0,0,,13344/2018031907179148859.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/13344/2018031907179148859.jpg,77.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0,True,Venta,Depto Venta Padre Hurtado,Depto Venta Padre Hurtado,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/depto-venta-padre-hurtado/985999
2,2,2 Baños,1000000,40,Las Condes,3,3,3 Dormitorios,False,True,False,False,False,False,0,True,20180228,959902,0,-33.42383110:-70.53993260,959902,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180228/959902/n_wm_actrvpropiedades_102003357_3357-102003357-159306_39.jpg,-33.4238311,-70.5399326,40 fotos,105 m^2 | 110 m^2,0,0,0,0,50,7500.0,UF 7.500,0.0,0,0,,2736/2015050840210279522.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/2736/2015050840210279522.jpg,105.0,105.0,0.0,0.0,0.0,0.0,110.0,110.0,False,False,0,False,Venta,Visviri / Alejandro Fleming,Visviri / Alejandro Fleming,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/visviri-alejandro-fleming/959902
3,3,3 Baños,1000000,37,Las Condes,4,4,4 Dormitorios,False,True,True,False,False,False,0,True,20180314,968067,0,-33.42071190:-70.53904920,968067,2,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180314/968067/n_wm_cys_102053601_102053601_9.jpg,-33.4207119,-70.5390492,37 fotos,112 m^2 | 127 m^2,0,0,0,0,50,7800.0,UF 7.800,0.0,0,0,,6255/2016051113061503530.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/6255/2016051113061503530.jpg,112.0,112.0,0.0,0.0,0.0,0.0,127.0,127.0,False,False,0,True,Venta,ALONSO DE CAMARGO / VIVIRRI,ALONSO DE CAMARGO / VIVIRRI,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/alonso-de-camargo-vivirri/968067
2,2,2 Baños,1000000,22,Las Condes,3,3,3 Dormitorios,False,True,True,False,False,False,0,True,20180423,995566,0,-33.42574926:-70.53834051,995566,1,9,1,9,2,,https://d2p3q1dbvr28tq.cloudfront.net/fotos/20180423/995566/n_wm_flr_flr1193_e0e7c9e3-56b7-4d35-b5d6-1e3d8a894e2b.jpg,-33.42574926,-70.53834051,22 fotos,75 m^2 | 80 m^2,0,0,0,0,50,175000000.0,$ 175.000.000,0.0,0,0,,1282/2016050418337902589.jpg,https://d2p3q1dbvr28tq.cloudfront.net/logos/corredora/1282/2016050418337902589.jpg,75.0,75.0,0.0,0.0,0.0,0.0,80.0,80.0,False,False,0,False,Venta,Portal La Reina-Ciudad Deportiva - BILBAO-FLEMING,Portal La Reina-Ciudad Deporti...,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/portal-la-reina-ciudad-deportiva-bilbao-fleming/995566
